Lith,A1,Intact,8.281099999999999,Forma Blueprint,0,Vasto Prime Receiver,8.0,Braton Prime Barrel,9.0,Vectis Prime Blueprint,10.0,Akstiletto Prime Blueprint,20.0,Saryn Prime Neuroptics Blueprint,22.5
Lith,A1,Exceptional,8.281099999999999,Forma Blueprint,0,Vasto Prime Receiver,8.0,Braton Prime Barrel,9.0,Vectis Prime Blueprint,10.0,Akstiletto Prime Blueprint,20.0,Saryn Prime Neuroptics Blueprint,22.5
Lith,A1,Flawless,8.281099999999999,Forma Blueprint,0,Vasto Prime Receiver,8.0,Braton Prime Barrel,9.0,Vectis Prime Blueprint,10.0,Akstiletto Prime Blueprint,20.0,Saryn Prime Neuroptics Blueprint,22.5
Lith,A1,Radiant,8.281099999999999,Forma Blueprint,0,Vasto Prime Receiver,8.0,Braton Prime Barrel,9.0,Vectis Prime Blueprint,10.0,Akstiletto Prime Blueprint,20.0,Saryn Prime Neuroptics Blueprint,22.5
Meso,B1,Intact,8.52105,Forma Blueprint,0,Orthos Prime Blueprint,5.0,Orthos Prime Handle,8.5,Dakra Prime Handle,10.0,Mag Prime Chassis Blueprint,15.5,Boar Prime Stock,79.0
Meso,B1,Exceptional,8.52105,Forma Blueprint,0,Orthos Prime Blueprint,5.0,Orthos Prime Handle,8.5,Dakra Prime Handle,10.0,Mag Prime Chassis Blueprint,15.5,Boar Prime Stock,79.0
Meso,B1,Flawless,8.52105,Forma Blueprint,0,Orthos Prime Blueprint,5.0,Orthos Prime Handle,8.5,Dakra Prime Handle,10.0,Mag Prime Chassis Blueprint,15.5,Boar Prime Stock,79.0
Meso,B1,Radiant,8.52105,Forma Blueprint,0,Orthos Prime Blueprint,5.0,Orthos Prime Handle,8.5,Dakra Prime Handle,10.0,Mag Prime Chassis Blueprint,15.5,Boar Prime Stock,79.0
Axi,A1,Intact,10.814099999999998,Braton Prime Stock,5.0,Fragor Prime Head,7.0,Dual Kamas Prime Handle,10.0,Trinity Prime Systems Blueprint,15.0,Nikana Prime Blueprint,20.0,Akstiletto Prime Barrel,22.5
Axi,A1,Exceptional,10.814099999999998,Braton Prime Stock,5.0,Fragor Prime Head,7.0,Dual Kamas Prime Handle,10.0,Trinity Prime Systems Blueprint,15.0,Nikana Prime Blueprint,20.0,Akstiletto Prime Barrel,22.5
Axi,A1,Flawless,10.814099999999998,Braton Prime Stock,5.0,Fragor Prime Head,7.0,Dual Kamas Prime Handle,10.0,Trinity Prime Systems Blueprint,15.0,Nikana Prime Blueprint,20.0,Akstiletto Prime Barrel,22.5
